Cohort,Window,Variable,N,PRE,POST,Delta,CI95,p_ttest,p_wilcox
Combined,12M,eGFR_indexed,551,109.22 ± 17.97,112.41 ± 14.16,3.19,"[2.02, 4.35]",1.16e-07,3.51e-09
Combined,12M,eGFR_NI,250,132.60 ± 26.46,115.45 ± 20.28,-17.15,"[-19.36, -14.95]",1.79e-37,2.34e-31
Combined,12M,BSA,999,2.11 ± 0.20,1.80 ± 0.18,-0.31,"[-0.31, -0.30]",0.00e+00,5.23e-165
Combined,12M,Acido_Urico,470,5.80 ± 1.47,4.45 ± 1.19,-1.35,"[-1.46, -1.24]",2.04e-84,6.84e-69
Combined,24M,Creatinina,341,0.73 ± 0.29,0.69 ± 0.13,-0.04,"[-0.06, -0.01]",0.0135,1.09e-06
Combined,24M,eGFR_indexed,342,110.33 ± 17.90,111.41 ± 12.19,1.08,"[-0.36, 2.53]",0.1432,0.0898
Combined,24M,eGFR_NI,47,136.00 ± 20.79,114.48 ± 17.95,-21.51,"[-24.61, -18.42]",8.93e-18,2.84e-14
Combined,24M,BSA,137,2.09 ± 0.20,1.76 ± 0.18,-0.33,"[-0.34, -0.31]",1.16e-73,3.15e-24
Combined,24M,Acido_Urico,293,5.81 ± 1.55,4.44 ± 1.12,-1.37,"[-1.51, -1.22]",2.36e-51,5.72e-42
Combined,36M,Creatinina,211,0.72 ± 0.16,0.70 ± 0.13,-0.02,"[-0.03, -0.00]",0.0247,0.0029
Combined,36M,eGFR_indexed,163,110.13 ± 16.78,109.35 ± 12.97,-0.78,"[-2.44, 0.87]",0.3559,0.0578
Combined,36M,eGFR_NI,19,133.75 ± 23.60,112.89 ± 17.65,-20.86,"[-28.89, -12.83]",7.62e-05,2.10e-04
Combined,36M,BSA,82,2.08 ± 0.18,1.77 ± 0.16,-0.31,"[-0.33, -0.28]",1.24e-39,3.94e-15
Combined,36M,Acido_Urico,181,5.71 ± 1.13,4.39 ± 0.98,-1.32,"[-1.46, -1.17]",5.25e-40,3.04e-27
